year,season,district_name,mandal_name,crop,normal_area,actual_area
2018-2019,Rabi,Adilabad,Adilabad (Urban),Maize,0,
2018-2019,Rabi,Adilabad,Jainath,Maize,0,5
2018-2019,Rabi,Adilabad,Bela,Maize,0,
2018-2019,Rabi,Adilabad,Ichoda,Maize,143,28
2018-2019,Rabi,Adilabad,Srikonda,Maize,10,13
2018-2019,Rabi,Adilabad,Gudihathnoor,Maize,64,50.4
2018-2019,Rabi,Adilabad,Utnoor,Maize,117,60
2018-2019,Rabi,Adilabad,Inderavelly,Maize,64,15
2018-2019,Rabi,Adilabad,Narnoor,Maize,41,21
2018-2019,Rabi,Adilabad,Gadiguda,Maize,4,15
2018-2019,Rabi,Adilabad,Boath,Maize,191,340
2018-2019,Rabi,Adilabad,Bazarhatnoor,Maize,216,40
2018-2019,Rabi,Adilabad,Neradigonda,Maize,138,170
2018-2019,Rabi,Adilabad,Bheempur,Maize,3,10
2018-2019,Rabi,Adilabad,Tamsi,Maize,10,8
2018-2019,Rabi,Adilabad,Talamadugu,Maize,9,12
2018-2019,Rabi,Adilabad,Adilabad (Rural),Bengalgram,537,750
2018-2019,Rabi,Adilabad,Mavala,Bengalgram,2,30
2018-2019,Rabi,Adilabad,Adilabad (Urban),Bengalgram,1,0
2018-2019,Rabi,Adilabad,Jainath,Bengalgram,3092,7200
2018-2019,Rabi,Adilabad,Bela,Bengalgram,1590,2420
2018-2019,Rabi,Adilabad,Ichoda,Bengalgram,870,419
2018-2019,Rabi,Adilabad,Srikonda,Bengalgram,28,290
2018-2019,Rabi,Adilabad,Gudihathnoor,Bengalgram,547,636
2018-2019,Rabi,Adilabad,Utnoor,Bengalgram,405,816
2018-2019,Rabi,Adilabad,Inderavelly,Bengalgram,545,340
2018-2019,Rabi,Adilabad,Narnoor,Bengalgram,339,317
2018-2019,Rabi,Adilabad,Gadiguda,Bengalgram,31,520
2018-2019,Rabi,Adilabad,Boath,Bengalgram,1100,1800
2018-2019,Rabi,Adilabad,Bazarhatnoor,Bengalgram,905,1840
2018-2019,Rabi,Adilabad,Neradigonda,Bengalgram,379,688
2018-2019,Rabi,Adilabad,Bheempur,Bengalgram,49,430
2018-2019,Rabi,Adilabad,Tamsi,Bengalgram,444,1910
2018-2019,Rabi,Adilabad,Talamadugu,Bengalgram,113,960
2018-2019,Rabi,Adilabad,Adilabad (Rural),Green gram,0,0
2018-2019,Rabi,Adilabad,Mavala,Green gram,0,0
2018-2019,Rabi,Adilabad,Adilabad (Urban),Green gram,0,0
2018-2019,Rabi,Adilabad,Jainath,Green gram,0,0
2018-2019,Rabi,Adilabad,Bela,Green gram,0,0
2018-2019,Rabi,Adilabad,Ichoda,Green gram,0,0
2018-2019,Rabi,Adilabad,Srikonda,Green gram,0,0
2018-2019,Rabi,Adilabad,Gudihathnoor,Green gram,0,0
2018-2019,Rabi,Adilabad,Utnoor,Green gram,2,0
2018-2019,Rabi,Adilabad,Inderavelly,Green gram,0,0
2018-2019,Rabi,Adilabad,Narnoor,Green gram,0,0
2018-2019,Rabi,Adilabad,Gadiguda,Green gram,0,0
2018-2019,Rabi,Adilabad,Boath,Green gram,0,0
2018-2019,Rabi,Adilabad,Bazarhatnoor,Green gram,0,0
2018-2019,Rabi,Adilabad,Neradigonda,Green gram,0,0
2018-2019,Rabi,Adilabad,Bheempur,Green gram,2,0
2018-2019,Rabi,Adilabad,Tamsi,Green gram,2,0
2018-2019,Rabi,Adilabad,Talamadugu,Green gram,4,0
2018-2019,Rabi,Adilabad,Adilabad (Rural),Black gram,0,0
2018-2019,Rabi,Adilabad,Mavala,Black gram,0,0
2018-2019,Rabi,Adilabad,Adilabad (Urban),Black gram,0,0
2018-2019,Rabi,Adilabad,Jainath,Black gram,0,0
2018-2019,Rabi,Adilabad,Bela,Black gram,0,0
2018-2019,Rabi,Adilabad,Ichoda,Black gram,0,0
2018-2019,Rabi,Adilabad,Srikonda,Black gram,0,0
2018-2019,Rabi,Adilabad,Gudihathnoor,Black gram,0,0
2018-2019,Rabi,Adilabad,Utnoor,Black gram,0,0
2018-2019,Rabi,Adilabad,Inderavelly,Black gram,0,0
2018-2019,Rabi,Adilabad,Narnoor,Black gram,0,0
2018-2019,Rabi,Adilabad,Gadiguda,Black gram,0,0
2018-2019,Rabi,Adilabad,Boath,Black gram,0,0
2018-2019,Rabi,Adilabad,Bazarhatnoor,Black gram,0,0
2018-2019,Rabi,Adilabad,Neradigonda,Black gram,0,0
2018-2019,Rabi,Adilabad,Bheempur,Black gram,2,0
2018-2019,Rabi,Adilabad,Tamsi,Black gram,2,0
2018-2019,Rabi,Adilabad,Talamadugu,Black gram,2,0
2018-2019,Rabi,Adilabad,Adilabad (Rural),Red gram,0,0
2018-2019,Rabi,Adilabad,Mavala,Red gram,0,0
2018-2019,Rabi,Adilabad,Adilabad (Urban),Red gram,0,0
2018-2019,Rabi,Adilabad,Jainath,Red gram,0,0
2018-2019,Rabi,Adilabad,Bela,Red gram,0,0
2018-2019,Rabi,Adilabad,Ichoda,Red gram,0,0
2018-2019,Rabi,Adilabad,Srikonda,Red gram,0,0
2018-2019,Rabi,Adilabad,Gudihathnoor,Red gram,0,0
2018-2019,Rabi,Adilabad,Utnoor,Red gram,0,0
2018-2019,Rabi,Adilabad,Inderavelly,Red gram,0,0
2018-2019,Rabi,Adilabad,Narnoor,Red gram,0,0
2018-2019,Rabi,Adilabad,Gadiguda,Red gram,0,0
2018-2019,Rabi,Adilabad,Boath,Red gram,0,0
2018-2019,Rabi,Adilabad,Bazarhatnoor,Red gram,0,0
2018-2019,Rabi,Adilabad,Neradigonda,Red gram,0,0
2018-2019,Rabi,Adilabad,Bheempur,Red gram,0,0
2018-2019,Rabi,Adilabad,Tamsi,Red gram,0,0
2018-2019,Rabi,Adilabad,Talamadugu,Red gram,0,0
2018-2019,Rabi,Adilabad,Adilabad (Rural),Wheat,20,10
2018-2019,Rabi,Adilabad,Mavala,Wheat,4,0
2018-2019,Rabi,Adilabad,Adilabad (Urban),Wheat,0,0
2018-2019,Rabi,Adilabad,Jainath,Wheat,92,30
2018-2019,Rabi,Adilabad,Bela,Wheat,124,10
2018-2019,Rabi,Adilabad,Ichoda,Wheat,222,27
2018-2019,Rabi,Adilabad,Srikonda,Wheat,14,17
2018-2019,Rabi,Adilabad,Gudihathnoor,Wheat,130,196
2018-2019,Rabi,Adilabad,Utnoor,Wheat,403,120
2018-2019,Rabi,Adilabad,Inderavelly,Wheat,204,7
2018-2019,Rabi,Adilabad,Narnoor,Wheat,235,11
2018-2019,Rabi,Adilabad,Gadiguda,Wheat,12,45
2018-2019,Rabi,Adilabad,Boath,Wheat,117,
2018-2019,Rabi,Adilabad,Bazarhatnoor,Wheat,90,25
2018-2019,Rabi,Adilabad,Neradigonda,Wheat,142,210
2018-2019,Rabi,Adilabad,Bheempur,Wheat,13,
2018-2019,Rabi,Adilabad,Tamsi,Wheat,72,14
2018-2019,Rabi,Adilabad,Talamadugu,Wheat,50,8
2018-2019,Rabi,Adilabad,Adilabad (Rural),Chillies,0,0
2018-2019,Rabi,Adilabad,Mavala,Chillies,0,0
2018-2019,Rabi,Adilabad,Adilabad (Urban),Chillies,0,0
2018-2019,Rabi,Adilabad,Jainath,Chillies,0,0
2018-2019,Rabi,Adilabad,Bela,Chillies,2,0
2018-2019,Rabi,Adilabad,Ichoda,Chillies,0,0
2018-2019,Rabi,Adilabad,Srikonda,Chillies,0,0
2018-2019,Rabi,Adilabad,Gudihathnoor,Chillies,3,0
2018-2019,Rabi,Adilabad,Utnoor,Chillies,0,0
2018-2019,Rabi,Adilabad,Inderavelly,Chillies,0,0
2018-2019,Rabi,Adilabad,Narnoor,Chillies,0,0
2018-2019,Rabi,Adilabad,Gadiguda,Chillies,2,0
2018-2019,Rabi,Adilabad,Boath,Chillies,2,0
2018-2019,Rabi,Adilabad,Bazarhatnoor,Chillies,0,0
2018-2019,Rabi,Adilabad,Neradigonda,Chillies,0,0
2018-2019,Rabi,Adilabad,Bheempur,Chillies,0,0
2018-2019,Rabi,Adilabad,Tamsi,Chillies,0,0
2018-2019,Rabi,Adilabad,Talamadugu,Chillies,0,0
2018-2019,Rabi,Adilabad,Adilabad (Rural),Turmeric,0,0
2018-2019,Rabi,Adilabad,Mavala,Turmeric,0,0
2018-2019,Rabi,Adilabad,Adilabad (Urban),Turmeric,0,0
2018-2019,Rabi,Adilabad,Jainath,Turmeric,0,0
2018-2019,Rabi,Adilabad,Bela,Turmeric,0,0
2018-2019,Rabi,Adilabad,Ichoda,Turmeric,0,0
2018-2019,Rabi,Adilabad,Srikonda,Turmeric,0,0
2018-2019,Rabi,Adilabad,Gudihathnoor,Turmeric,0,0
2018-2019,Rabi,Adilabad,Utnoor,Turmeric,0,0
2018-2019,Rabi,Adilabad,Inderavelly,Turmeric,0,0
2018-2019,Rabi,Adilabad,Narnoor,Turmeric,0,0
2018-2019,Rabi,Adilabad,Gadiguda,Turmeric,0,0
2018-2019,Rabi,Adilabad,Boath,Turmeric,0,0
2018-2019,Rabi,Adilabad,Bazarhatnoor,Turmeric,0,0
2018-2019,Rabi,Adilabad,Neradigonda,Turmeric,0,0
2018-2019,Rabi,Adilabad,Bheempur,Turmeric,0,0
2018-2019,Rabi,Adilabad,Tamsi,Turmeric,0,0
2018-2019,Rabi,Adilabad,Talamadugu,Turmeric,0,0
2018-2019,Rabi,Adilabad,Adilabad (Rural),Sugarcane,0,0
2018-2019,Rabi,Adilabad,Mavala,Sugarcane,0,0
2018-2019,Rabi,Adilabad,Adilabad (Urban),Sugarcane,0,0
2018-2019,Rabi,Adilabad,Jainath,Sugarcane,0,0
2018-2019,Rabi,Adilabad,Bela,Sugarcane,0,0
2018-2019,Rabi,Adilabad,Ichoda,Sugarcane,0,0
2018-2019,Rabi,Adilabad,Srikonda,Sugarcane,0,0
2018-2019,Rabi,Adilabad,Gudihathnoor,Sugarcane,0,0
2018-2019,Rabi,Adilabad,Utnoor,Sugarcane,0,0
2018-2019,Rabi,Adilabad,Inderavelly,Sugarcane,0,0
2018-2019,Rabi,Adilabad,Narnoor,Sugarcane,0,0
2018-2019,Rabi,Adilabad,Gadiguda,Sugarcane,0,0
2018-2019,Rabi,Adilabad,Boath,Sugarcane,0,0
2018-2019,Rabi,Adilabad,Bazarhatnoor,Sugarcane,0,0
2018-2019,Rabi,Adilabad,Neradigonda,Sugarcane,0,0
2018-2019,Rabi,Adilabad,Bheempur,Sugarcane,0,0
2018-2019,Rabi,Adilabad,Tamsi,Sugarcane,0,0
2018-2019,Rabi,Adilabad,Talamadugu,Sugarcane,0,0
2018-2019,Rabi,Adilabad,Adilabad (Rural),Potato,0,0
2018-2019,Rabi,Adilabad,Mavala,Potato,0,0
2018-2019,Rabi,Adilabad,Adilabad (Urban),Potato,0,0
2018-2019,Rabi,Adilabad,Jainath,Potato,0,0
2018-2019,Rabi,Adilabad,Bela,Potato,0,0
2018-2019,Rabi,Adilabad,Ichoda,Potato,0,0
2018-2019,Rabi,Adilabad,Srikonda,Potato,0,0
2018-2019,Rabi,Adilabad,Gudihathnoor,Potato,0,0
2018-2019,Rabi,Adilabad,Utnoor,Potato,0,0
2018-2019,Rabi,Adilabad,Inderavelly,Potato,0,0
2018-2019,Rabi,Adilabad,Narnoor,Potato,0,0
2018-2019,Rabi,Adilabad,Gadiguda,Potato,0,0
2018-2019,Rabi,Adilabad,Boath,Potato,0,0
2018-2019,Rabi,Adilabad,Bazarhatnoor,Potato,0,0
2018-2019,Rabi,Adilabad,Neradigonda,Potato,0,0
2018-2019,Rabi,Adilabad,Bheempur,Potato,0,0
2018-2019,Rabi,Adilabad,Tamsi,Potato,0,0
2018-2019,Rabi,Adilabad,Talamadugu,Potato,0,0
2018-2019,Rabi,Adilabad,Adilabad (Rural),Onion,0,0
2018-2019,Rabi,Adilabad,Mavala,Onion,1,0
2018-2019,Rabi,Adilabad,Adilabad (Urban),Onion,1,0
2018-2019,Rabi,Adilabad,Jainath,Onion,0,0
2018-2019,Rabi,Adilabad,Bela,Onion,0,0
2018-2019,Rabi,Adilabad,Ichoda,Onion,0,0
2018-2019,Rabi,Adilabad,Srikonda,Onion,1,0
2018-2019,Rabi,Adilabad,Gudihathnoor,Onion,0,0
2018-2019,Rabi,Adilabad,Utnoor,Onion,1,0
2018-2019,Rabi,Adilabad,Inderavelly,Onion,1,0
2018-2019,Rabi,Adilabad,Narnoor,Onion,0,0
2018-2019,Rabi,Adilabad,Gadiguda,Onion,0,0
2018-2019,Rabi,Adilabad,Boath,Onion,6,0
2018-2019,Rabi,Adilabad,Bazarhatnoor,Onion,2,0
2018-2019,Rabi,Adilabad,Neradigonda,Onion,4,0
2018-2019,Rabi,Adilabad,Bheempur,Onion,2,0
2018-2019,Rabi,Adilabad,Tamsi,Onion,2,0
2018-2019,Rabi,Adilabad,Talamadugu,Onion,2,0
2018-2019,Rabi,Adilabad,Adilabad (Rural),Other Food Crops,20,0
2018-2019,Rabi,Adilabad,Mavala,Other Food Crops,3,0
2018-2019,Rabi,Adilabad,Adilabad (Urban),Other Food Crops,1,0
2018-2019,Rabi,Adilabad,Jainath,Other Food Crops,2,0
2018-2019,Rabi,Adilabad,Bela,Other Food Crops,28,0
2018-2019,Rabi,Adilabad,Ichoda,Other Food Crops,60,8
2018-2019,Rabi,Adilabad,Srikonda,Other Food Crops,2,0
2018-2019,Rabi,Adilabad,Gudihathnoor,Other Food Crops,8,0
2018-2019,Rabi,Adilabad,Utnoor,Other Food Crops,63,0
2018-2019,Rabi,Adilabad,Inderavelly,Other Food Crops,8,9
2018-2019,Rabi,Adilabad,Narnoor,Other Food Crops,1,7
2018-2019,Rabi,Adilabad,Gadiguda,Other Food Crops,22,0
2018-2019,Rabi,Adilabad,Boath,Other Food Crops,106,25
2018-2019,Rabi,Adilabad,Bazarhatnoor,Other Food Crops,79,15
2018-2019,Rabi,Adilabad,Neradigonda,Other Food Crops,62,119
2018-2019,Rabi,Adilabad,Bheempur,Other Food Crops,2,0
2018-2019,Rabi,Adilabad,Tamsi,Other Food Crops,15,0
2018-2019,Rabi,Adilabad,Talamadugu,Other Food Crops,23,16
2018-2019,Rabi,Adilabad,Adilabad (Rural),Cotton,0,0
2018-2019,Rabi,Adilabad,Mavala,Cotton,0,0
2018-2019,Rabi,Adilabad,Adilabad (Urban),Cotton,0,0
2018-2019,Rabi,Adilabad,Jainath,Cotton,0,0
2018-2019,Rabi,Adilabad,Bela,Cotton,0,0
2018-2019,Rabi,Adilabad,Ichoda,Cotton,0,0
2018-2019,Rabi,Adilabad,Srikonda,Cotton,0,0
2018-2019,Rabi,Adilabad,Gudihathnoor,Cotton,0,0
2018-2019,Rabi,Adilabad,Utnoor,Cotton,0,0
2018-2019,Rabi,Adilabad,Inderavelly,Cotton,0,0
2018-2019,Rabi,Adilabad,Narnoor,Cotton,0,0
2018-2019,Rabi,Adilabad,Gadiguda,Cotton,0,0
2018-2019,Rabi,Adilabad,Boath,Cotton,0,0
2018-2019,Rabi,Adilabad,Bazarhatnoor,Cotton,0,0
2018-2019,Rabi,Adilabad,Neradigonda,Cotton,0,0
2018-2019,Rabi,Adilabad,Bheempur,Cotton,0,0
2018-2019,Rabi,Adilabad,Tamsi,Cotton,0,0
2018-2019,Rabi,Adilabad,Talamadugu,Cotton,0,0
2018-2019,Rabi,Adilabad,Adilabad (Rural),Mesta,0,0
2018-2019,Rabi,Adilabad,Mavala,Mesta,0,0
2018-2019,Rabi,Adilabad,Adilabad (Urban),Mesta,0,0
2018-2019,Rabi,Adilabad,Jainath,Mesta,0,0
2018-2019,Rabi,Adilabad,Bela,Mesta,0,0
2018-2019,Rabi,Adilabad,Ichoda,Mesta,0,0
2018-2019,Rabi,Adilabad,Srikonda,Mesta,0,0
2018-2019,Rabi,Adilabad,Gudihathnoor,Mesta,0,0
2018-2019,Rabi,Adilabad,Utnoor,Mesta,0,0
2018-2019,Rabi,Adilabad,Inderavelly,Mesta,0,0
2018-2019,Rabi,Adilabad,Narnoor,Mesta,0,0
2018-2019,Rabi,Adilabad,Gadiguda,Mesta,0,0
2018-2019,Rabi,Adilabad,Boath,Mesta,0,0
2018-2019,Rabi,Adilabad,Bazarhatnoor,Mesta,0,0
2018-2019,Rabi,Adilabad,Neradigonda,Mesta,0,0
2018-2019,Rabi,Adilabad,Bheempur,Mesta,0,0
2018-2019,Rabi,Adilabad,Tamsi,Mesta,0,0
2018-2019,Rabi,Adilabad,Talamadugu,Mesta,0,0
2018-2019,Rabi,Adilabad,Adilabad (Rural),Groundnut,44,0
2018-2019,Rabi,Adilabad,Mavala,Groundnut,6,0
2018-2019,Rabi,Adilabad,Adilabad (Urban),Groundnut,0,0
2018-2019,Rabi,Adilabad,Jainath,Groundnut,109,0
2018-2019,Rabi,Adilabad,Bela,Groundnut,28,0
2018-2019,Rabi,Adilabad,Ichoda,Groundnut,7,0
2018-2019,Rabi,Adilabad,Srikonda,Groundnut,9,0
2018-2019,Rabi,Adilabad,Gudihathnoor,Groundnut,31,21
2018-2019,Rabi,Adilabad,Utnoor,Groundnut,1,0
2018-2019,Rabi,Adilabad,Inderavelly,Groundnut,1,0
2018-2019,Rabi,Adilabad,Narnoor,Groundnut,0,0
2018-2019,Rabi,Adilabad,Gadiguda,Groundnut,0,0
2018-2019,Rabi,Adilabad,Boath,Groundnut,14,0
2018-2019,Rabi,Adilabad,Bazarhatnoor,Groundnut,8,0
2018-2019,Rabi,Adilabad,Neradigonda,Groundnut,8,1
2018-2019,Rabi,Adilabad,Bheempur,Groundnut,12,0
2018-2019,Rabi,Adilabad,Tamsi,Groundnut,84,0
2018-2019,Rabi,Adilabad,Talamadugu,Groundnut,208,1
2018-2019,Rabi,Adilabad,Adilabad (Rural),Seasumum,3,0
2018-2019,Rabi,Adilabad,Mavala,Seasumum,0,0
2018-2019,Rabi,Adilabad,Adilabad (Urban),Seasumum,0,0
2018-2019,Rabi,Adilabad,Jainath,Seasumum,6,0
2018-2019,Rabi,Adilabad,Bela,Seasumum,1,0
2018-2019,Rabi,Adilabad,Ichoda,Seasumum,9,0
2018-2019,Rabi,Adilabad,Srikonda,Seasumum,0,0
2018-2019,Rabi,Adilabad,Gudihathnoor,Seasumum,2,0
2018-2019,Rabi,Adilabad,Utnoor,Seasumum,0,0
2018-2019,Rabi,Adilabad,Inderavelly,Seasumum,0,0
2018-2019,Rabi,Adilabad,Narnoor,Seasumum,0,0
2018-2019,Rabi,Adilabad,Gadiguda,Seasumum,0,0
2018-2019,Rabi,Adilabad,Boath,Seasumum,34,0
2018-2019,Rabi,Adilabad,Bazarhatnoor,Seasumum,5,0
2018-2019,Rabi,Adilabad,Neradigonda,Seasumum,25,6
2018-2019,Rabi,Adilabad,Bheempur,Seasumum,2,0
2018-2019,Rabi,Adilabad,Tamsi,Seasumum,17,0
2018-2019,Rabi,Adilabad,Talamadugu,Seasumum,4,0
2018-2019,Rabi,Adilabad,Adilabad (Rural),Sunflower,0,0
2018-2019,Rabi,Adilabad,Mavala,Sunflower,0,0
2018-2019,Rabi,Adilabad,Adilabad (Urban),Sunflower,0,0
2018-2019,Rabi,Adilabad,Jainath,Sunflower,0,0
2018-2019,Rabi,Adilabad,Bela,Sunflower,0,0
2018-2019,Rabi,Adilabad,Ichoda,Sunflower,0,0
2018-2019,Rabi,Adilabad,Srikonda,Sunflower,0,0
2018-2019,Rabi,Adilabad,Gudihathnoor,Sunflower,0,0
2018-2019,Rabi,Adilabad,Utnoor,Sunflower,0,0
2018-2019,Rabi,Adilabad,Inderavelly,Sunflower,0,0
2018-2019,Rabi,Adilabad,Narnoor,Sunflower,0,0
2018-2019,Rabi,Adilabad,Gadiguda,Sunflower,0,0
2018-2019,Rabi,Adilabad,Boath,Sunflower,29,0
2018-2019,Rabi,Adilabad,Bazarhatnoor,Sunflower,0,0
2018-2019,Rabi,Adilabad,Neradigonda,Sunflower,3,0
2018-2019,Rabi,Adilabad,Bheempur,Sunflower,0,0
2018-2019,Rabi,Adilabad,Tamsi,Sunflower,0,0
2018-2019,Rabi,Adilabad,Talamadugu,Sunflower,1,0
2018-2019,Rabi,Adilabad,Adilabad (Rural),Castor,0,0
2018-2019,Rabi,Adilabad,Mavala,Castor,0,0
2018-2019,Rabi,Adilabad,Adilabad (Urban),Castor,0,0
2018-2019,Rabi,Adilabad,Jainath,Castor,0,0
2018-2019,Rabi,Adilabad,Bela,Castor,0,0
2018-2019,Rabi,Adilabad,Ichoda,Castor,0,0
2018-2019,Rabi,Adilabad,Srikonda,Castor,0,0
2018-2019,Rabi,Adilabad,Gudihathnoor,Castor,0,0
2018-2019,Rabi,Adilabad,Utnoor,Castor,0,0
2018-2019,Rabi,Adilabad,Inderavelly,Castor,0,0
2018-2019,Rabi,Adilabad,Narnoor,Castor,0,0
2018-2019,Rabi,Adilabad,Gadiguda,Castor,0,0
2018-2019,Rabi,Adilabad,Boath,Castor,0,0
2018-2019,Rabi,Adilabad,Bazarhatnoor,Castor,0,0
2018-2019,Rabi,Adilabad,Neradigonda,Castor,0,0
2018-2019,Rabi,Adilabad,Bheempur,Castor,0,0
2018-2019,Rabi,Adilabad,Tamsi,Castor,0,0
2018-2019,Rabi,Adilabad,Talamadugu,Castor,0,0
2018-2019,Rabi,Adilabad,Adilabad (Rural),Soybean,0,0
2018-2019,Rabi,Adilabad,Mavala,Soybean,0,0
2018-2019,Rabi,Adilabad,Adilabad (Urban),Soybean,0,0
2018-2019,Rabi,Adilabad,Jainath,Soybean,0,0
2018-2019,Rabi,Adilabad,Bela,Soybean,0,0
2018-2019,Rabi,Adilabad,Ichoda,Soybean,0,0
2018-2019,Rabi,Adilabad,Srikonda,Soybean,0,0
2018-2019,Rabi,Adilabad,Gudihathnoor,Soybean,0,0
2018-2019,Rabi,Adilabad,Utnoor,Soybean,0,0
2018-2019,Rabi,Adilabad,Inderavelly,Soybean,0,0
2018-2019,Rabi,Adilabad,Narnoor,Soybean,0,0
2018-2019,Rabi,Adilabad,Gadiguda,Soybean,0,0
2018-2019,Rabi,Adilabad,Boath,Soybean,0,0
2018-2019,Rabi,Adilabad,Bazarhatnoor,Soybean,0,0
2018-2019,Rabi,Adilabad,Neradigonda,Soybean,0,0
2018-2019,Rabi,Adilabad,Bheempur,Soybean,0,0
2018-2019,Rabi,Adilabad,Tamsi,Soybean,0,0
2018-2019,Rabi,Adilabad,Talamadugu,Soybean,0,0
2018-2019,Rabi,Adilabad,Adilabad (Rural),Other Oil Seeds,0,0
2018-2019,Rabi,Adilabad,Mavala,Other Oil Seeds,0,0
2018-2019,Rabi,Adilabad,Adilabad (Urban),Other Oil Seeds,0,0
2018-2019,Rabi,Adilabad,Jainath,Other Oil Seeds,0,0
2018-2019,Rabi,Adilabad,Bela,Other Oil Seeds,0,0
2018-2019,Rabi,Adilabad,Ichoda,Other Oil Seeds,0,0
2018-2019,Rabi,Adilabad,Srikonda,Other Oil Seeds,0,0
2018-2019,Rabi,Adilabad,Gudihathnoor,Other Oil Seeds,0,0
2018-2019,Rabi,Adilabad,Utnoor,Other Oil Seeds,0,0
2018-2019,Rabi,Adilabad,Inderavelly,Other Oil Seeds,0,0
2018-2019,Rabi,Adilabad,Narnoor,Other Oil Seeds,0,0
2018-2019,Rabi,Adilabad,Gadiguda,Other Oil Seeds,0,0
2018-2019,Rabi,Adilabad,Boath,Other Oil Seeds,0,0
2018-2019,Rabi,Adilabad,Bazarhatnoor,Other Oil Seeds,0,0
2018-2019,Rabi,Adilabad,Neradigonda,Other Oil Seeds,0,0
2018-2019,Rabi,Adilabad,Bheempur,Other Oil Seeds,0,0
2018-2019,Rabi,Adilabad,Tamsi,Other Oil Seeds,0,0
2018-2019,Rabi,Adilabad,Talamadugu,Other Oil Seeds,0,0
2018-2019,Rabi,Adilabad,Adilabad (Rural),Tabacco,0,0
